"","x"
"MSL2",2
"MSMB",2
"MT1G",2
"MTA2",2
"MTFR1L",2
"MTIF2",2
"MTMR3",2
"MTMR9",2
"MTNR1B",2
"MTRF1",2
"MTRNR2L2",2
"MUC17",2
"MXD1",2
"MXI1",2
"MYADML2",2
"MYH1",2
"MYL10",2
"MYL12B",2
"MYL5",2
"MYLK",2
"MYO18B",2
"NAALADL1",2
"NAGK",2
"NANOS2",2
"NANS",2
"NAT10",2
"NAT2",2
"NAT8L",2
"NBL1",2
"NBPF7",2
"NCAPD3",2
"NCL",2
"NCOA1",2
"NDST4",2
"NDUFA12",2
"NDUFA2",2
"NDUFB9",2
"NECAB2",2
"NEDD9",2
"NEIL2",2
"NEIL3",2
"NEK3",2
"NEK4",2
"NEK8",2
"NELFA",2
"NELFB",2
"NEU2",2
"NFX1",2
"NGDN",2
"NGEF",2
"NIPA2",2
"NIPAL4",2
"NIPBL",2
"NIPSNAP3B",2
"NKAIN4",2
"NKIRAS2",2
"NLRP2",2
"NLRP8",2
"NMB",2
"NMBR",2
"NME2",2
"NNT",2
"NOA1",2
"NOC2L",2
"NOD2",2
"NOL3",2
"NONO",2
"NOS1AP",2
"NOTO",2
"NOTUM",2
"NOX1",2
"NPC2",2
"NPHP3",2
"NPR1",2
"NPY",2
"NPY4R",2
"NR0B1",2
"NR1D1",2
"NR2F2",2
"NR4A1",2
"NRG3",2
"NRIP2",2
"NRN1L",2
"NSMF",2
"NSUN7",2
"NT5C1B-RDH14",2
"NT5DC2",2
"NTF4",2
"NTPCR",2
"NTSR1",2
"NUAK1",2
"NUDT13",2
"NUDT18",2
"NUDT22",2
"NUDT6",2
"NUGGC",2
"NUP188",2
"NUP88",2
"NXPH4",2
"NYNRIN",2
"OAF",2
"OAS3",2
"OBSCN",2
"OCEL1",2
"OCIAD1",2
"ODF3",2
"OFD1",2
"OLFM2",2
"OMP",2
"ONECUT2",2
"OOEP",2
"OPTC",2
"OR10G2",2
"OR10G8",2
"OR10W1",2
"OR13C4",2
"OR1N1",2
"OR2A2",2
"OR2A7",2
"OR2AE1",2
"OR2J2",2
"OR2T11",2
"OR2T27",2
"OR4C11",2
"OR4C46",2
"OR4M1",2
"OR4N2",2
"OR4Q3",2
"OR4X1",2
"OR4X2",2
"OR51M1",2
"OR52A5",2
"OR52K2",2
"OR5A1",2
"OR5AU1",2
"OR5B3",2
"OR5P3",2
"OR6B3",2
"OR6N2",2
"OR7C1",2
"OR8A1",2
"OR8K3",2
"OR9A2",2
"OR9G4",2
"OR9I1",2
"ORM1",2
